id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePoints,homeLineScores,homePostgameWinProbability,awayId,awayTeam,awayConference,awayClassification,awayPoints,awayLineScores,awayPostgameWinProbability,excitementIndex,highlights,homePregameElo,homePostgameElo,awayPregameElo,awayPostgameElo,notes
401013357,2018,1,regular,2018-08-25 21:30:00+00:00,False,True,False,False,8684.0,3985,Warren McGuirk Alumni Stadium,113,Massachusetts,FBS Independents,fbs,63,"[21, 14, 21, 7]",0.9984542422162311,2184,Duquesne,NEC,fcs,15,"[3, 6, 0, 6]",0.001545757783768864,0.2139101303,https://www.youtube.com/watch?v=uwMMvX-tU_U,,,,,
401030241,2018,1,regular,2018-08-25 23:00:00+00:00,False,True,True,False,,3689,Cramton Bowl,55,Jacksonville State,OVC,fcs,17,"[0, 3, 14, 0]",,2448,North Carolina A&T,MEAC,fcs,20,"[7, 0, 13, 0]",,,,,,,,GUARDIAN CREDIT UNION FCS KICKOFF
401014972,2018,1,regular,2018-08-25 23:00:00+00:00,False,True,False,False,20050.0,3895,Rice Stadium,242,Rice,Conference USA,fbs,31,"[13, 6, 0, 12]",0.41611197976904707,2504,Prairie View A&M,SWAC,fcs,28,"[0, 21, 7, 0]",0.5838880202309529,5.6012773743,https://www.youtube.com/watch?v=z2VFteZqBBw,,,,,
401022510,2018,1,regular,2018-08-25 23:30:00+00:00,False,True,False,True,31007.0,5388,Canvas Stadium,36,Colorado State,Mountain West,fbs,34,"[7, 0, 13, 14]",0.3317397678892768,62,Hawai'i,Mountain West,fbs,43,"[10, 13, 14, 6]",0.6682602321107232,4.5649361931,https://www.youtube.com/watch?v=1FEy3ogBwpM,1529.0,1482.0,1217.0,1264.0,
401013437,2018,1,regular,2018-08-26 02:00:00+00:00,False,True,False,False,20322.0,3601,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,fbs,7,"[0, 0, 0, 7]",0.00427210984632397,2751,Wyoming,Mountain West,fbs,29,"[9, 6, 7, 7]",0.995727890153676,2.7057118396,https://www.youtube.com/watch?v=S3V1Juvj160,1339.0,1304.0,1537.0,1572.0,
401030567,2018,1,regular,2018-08-30 22:00:00+00:00,False,True,False,False,,3979,Wagner College Stadium,2681,Wagner,NEC,fcs,40,"[17, 14, 0, 9]",,2075,Bowie State,CIAA,ii,23,"[3, 10, 7, 3]",,,,,,,,
401029968,2018,1,regular,2018-08-30 23:00:00+00:00,False,True,False,False,,3629,Barker-Lane Stadium,2097,Campbell,Big South,fcs,49,"[7, 14, 21, 7]",,2804,Chowan,CIAA,ii,26,"[0, 0, 6, 20]",,,,,,,,
401030097,2018,1,regular,2018-08-30 23:00:00+00:00,False,True,False,False,,3829,Memorial Stadium,282,Indiana State,MVFC,fcs,49,"[14, 7, 14, 14]",,2825,Quincy,Great Lakes,ii,0,"[0, 0, 0, 0]",,,,,,,,
401029895,2018,1,regular,2018-08-30 23:00:00+00:00,False,True,False,True,,3695,Delaware Stadium,48,Delaware,CAA,fcs,19,"[0, 10, 3, 6]",,227,Rhode Island,CAA,fcs,21,"[0, 7, 14, 0]",,,,,,,,
401029921,2018,1,regular,2018-08-30 23:00:00+00:00,False,True,False,True,,3607,Alfond Stadium,311,Maine,CAA,fcs,35,"[0, 22, 7, 6]",,160,New Hampshire,CAA,fcs,7,"[0, 0, 0, 7]",,,,,,,,
