id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePoints,homeLineScores,awayId,awayTeam,awayConference,awayClassification,awayPoints,awayLineScores,highlights,attendance,homePostgameWinProbability,homePregameElo,homePostgameElo,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,notes
401128622,2019,1,regular,2019-08-24 16:00:00+00:00,False,True,False,False,3617,Andy Kerr Stadium,2142,Colgate,Patriot,fcs,14,"[0, 0, 7, 7]",222,Villanova,CAA,fcs,34,"[0, 27, 0, 7]",,,,,,,,,,
401127303,2019,1,regular,2019-08-24 19:00:00+00:00,False,True,True,False,3689,Cramton Bowl,2535,Samford,Southern,fcs,22,"[7, 0, 0, 15]",2754,Youngstown State,MVFC,fcs,45,"[14, 10, 0, 21]",,,,,,,,,,GUARDIAN CREDIT UNION FCS KICKOFF
401110723,2019,1,regular,2019-08-24 23:00:00+00:00,False,True,True,False,4013,Camping World Stadium,57,Florida,SEC,fbs,24,"[7, 0, 10, 7]",2390,Miami,ACC,fbs,20,"[3, 10, 0, 7]",https://www.youtube.com/watch?v=WeJi4p0jqXA,66543.0,0.9059534582132265,1683.0,1688.0,0.09404654178677352,1611.0,1606.0,8.7679102419,CAMPING WORLD KICKOFF
401114164,2019,1,regular,2019-08-25 02:30:00+00:00,False,True,False,False,3610,Aloha Stadium,62,Hawai'i,Mountain West,fbs,45,"[14, 14, 7, 10]",12,Arizona,Pac-12,fbs,38,"[0, 21, 14, 3]",https://www.youtube.com/watch?v=eJI8vkRqz0o,22396.0,0.6886295726282241,1281.0,1302.0,0.3113704273717759,1467.0,1446.0,7.84241686779999,
401128597,2019,1,regular,2019-08-29 22:00:00+00:00,False,True,False,False,3774,Jayne Stadium,2413,Morehead State,Pioneer,fcs,44,"[7, 16, 14, 7]",2841,Union College,,,7,"[0, 0, 0, 7]",,,,,,,,,,
401128354,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,3908,Roy Kidd Stadium,2198,Eastern Kentucky,OVC,fcs,53,"[15, 17, 7, 14]",2674,Valparaiso,Pioneer,fcs,7,"[0, 0, 7, 0]",,,,,,,,,,
401127039,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,3695,Delaware Stadium,48,Delaware,CAA,fcs,31,"[3, 13, 9, 6]",2169,Delaware State,MEAC,fcs,13,"[3, 3, 0, 7]",,,,,,,,,,
401128490,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,3720,Finley Stadium,236,Chattanooga,Southern,fcs,24,"[7, 10, 7, 0]",2197,Eastern Illinois,OVC,fcs,10,"[3, 7, 0, 0]",,,,,,,,,,
401117854,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,3854,Nippert Stadium,2132,Cincinnati,American Athletic,fbs,24,"[7, 3, 7, 7]",26,UCLA,Pac-12,fbs,14,"[0, 7, 7, 0]",https://www.youtube.com/watch?v=Y9XAYpeOi0I,38032.0,0.9968294673908809,1625.0,1629.0,0.0031705326091191477,1431.0,1427.0,5.4986821262,
401128370,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,3909,Roy Stewart Stadium,93,Murray State,OVC,fcs,59,"[17, 14, 14, 14]",95,Pikeville,,,20,"[3, 14, 3, 0]",,,,,,,,,,
401127042,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,2068,E. Claiborne Robins Stadium,257,Richmond,CAA,fcs,38,"[14, 17, 7, 0]",294,Jacksonville,Pioneer,fcs,19,"[0, 6, 0, 13]",,,,,,,,,,
401127043,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,CAA,fcs,35,"[7, 7, 14, 7]",2803,Bryant,NEC,fcs,10,"[0, 3, 0, 7]",,,,,,,,,,
401119254,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,3700,Doyt L. Perry Stadium,189,Bowling Green,Mid-American,fbs,46,"[13, 17, 7, 9]",2415,Morgan State,MEAC,fcs,3,"[0, 3, 0, 0]",,17620.0,0.9999785280584667,,,2.1471941533346417e-05,,,0.4729679719,
401119255,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,3965,UB Stadium,2084,Buffalo,Mid-American,fbs,38,"[21, 7, 10, 0]",2523,Robert Morris,NEC,fcs,10,"[7, 3, 0, 0]",,18412.0,0.9997880630567496,,,0.00021193694325039036,,,0.1185875019,
401117855,2019,1,regular,2019-08-29 23:00:00+00:00,False,True,False,False,3892,Pratt & Whitney Stadium,41,UConn,American Athletic,fbs,24,"[7, 3, 14, 0]",2681,Wagner,NEC,fcs,21,"[0, 0, 14, 7]",https://www.youtube.com/watch?v=qkIibi3TYF8,19648.0,0.7289421137835537,,,0.27105788621644633,,,1.83435076049999,
401135910,2019,1,regular,2019-08-29 23:30:00+00:00,False,True,False,False,4418,Jerry Richardson Stadium,2429,Charlotte,Conference USA,fbs,49,"[7, 28, 7, 7]",2241,Gardner-Webb,Big South,fcs,28,"[0, 14, 7, 7]",,16119.0,0.9992560144881203,,,0.0007439855118797079,,,0.4428072342,
401114246,2019,1,regular,2019-08-29 23:30:00+00:00,False,True,False,False,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,Conference USA,fbs,28,"[14, 7, 7, 0]",2110,Central Arkansas,Southland,fcs,35,"[0, 14, 0, 21]",https://www.youtube.com/watch?v=dgeUCVz-0hA,17120.0,0.0861674673352279,,,0.913832532664772,,,4.1608351506,
401117853,2019,1,regular,2019-08-29 23:30:00+00:00,False,True,False,False,3652,FBC Mortgage Stadium,2116,UCF,American Athletic,fbs,62,"[17, 31, 7, 7]",50,Florida A&M,MEAC,fcs,0,"[0, 0, 0, 0]",https://www.youtube.com/watch?v=JMjct2NYZSc,44073.0,0.9999957343184567,,,4.265681543325073e-06,,,0.0275892598999993,
401128724,2019,1,regular,2019-08-29 23:30:00+00:00,False,True,False,False,3748,Graham Stadium,2630,UT Martin,OVC,fcs,42,"[14, 0, 14, 14]",2466,Northwestern State,Southland,fcs,20,"[7, 13, 0, 0]",,,,,,,,,,
401127297,2019,1,regular,2019-08-29 23:30:00+00:00,False,True,False,False,3758,Houck Stadium,2546,Southeast Missouri State,OVC,fcs,44,"[0, 20, 17, 7]",79,Southern Illinois,MVFC,fcs,26,"[7, 7, 0, 12]",,,,,,,,,,
401127240,2019,1,regular,2019-08-30 00:00:00+00:00,False,True,False,False,3742,Governors Stadium,2046,Austin Peay,OVC,fcs,41,"[7, 24, 3, 7]",2428,North Carolina Central,MEAC,fcs,10,"[3, 0, 0, 7]",,,,,,,,,,
401111653,2019,1,regular,2019-08-30 00:00:00+00:00,False,True,False,True,3836,"Memorial Stadium (Clemson, SC)",228,Clemson,ACC,fbs,52,"[14, 14, 14, 10]",59,Georgia Tech,ACC,fbs,14,"[0, 0, 7, 7]",https://www.youtube.com/watch?v=c7Ih452df30,79118.0,0.999975851296617,2092.0,2136.0,2.4148703382964598e-05,1571.0,1527.0,0.121090201699999,
401128709,2019,1,regular,2019-08-30 00:00:00+00:00,False,True,False,False,3882,Provost Umphrey Stadium,2320,Lamar,Southland,fcs,65,"[14, 27, 17, 7]",2064,Bethel University Tennessee,,,16,"[3, 10, 0, 3]",,,,,,,,,,
401128362,2019,1,regular,2019-08-30 00:00:00+00:00,False,True,False,False,3944,Strawberry Stadium,2545,SE Louisiana,Southland,fcs,35,"[14, 7, 7, 7]",55,Jacksonville State,OVC,fcs,14,"[0, 7, 0, 7]",,,,,,,,,,
401127029,2019,1,regular,2019-08-30 00:00:00+00:00,False,True,False,False,4133,Braly Municipal Stadium,2453,North Alabama,Big South,fcs,26,"[6, 13, 7, 0]",2710,Western Illinois,MVFC,fcs,17,"[0, 14, 3, 0]",,,,,,,,,,
401114236,2019,1,regular,2019-08-30 00:00:00+00:00,False,True,False,False,4729,Yulman Stadium,2655,Tulane,American Athletic,fbs,42,"[7, 21, 14, 0]",2229,Florida International,Conference USA,fbs,14,"[0, 7, 7, 0]",https://www.youtube.com/watch?v=VIvyR9Zwhfk,16361.0,0.9996684962055076,1451.0,1527.0,0.00033150379449242706,1471.0,1395.0,1.52850182699999,
401114237,2019,1,regular,2019-08-30 00:00:00+00:00,False,True,False,False,3803,Legion Field,5,UAB,Conference USA,fbs,24,"[14, 10, 0, 0]",2011,Alabama State,SWAC,fcs,19,"[13, 0, 6, 0]",https://www.youtube.com/watch?v=euB43slXeBY,39165.0,0.808822993632232,,,0.19117700636776802,,,1.8230200516,
401110731,2019,1,regular,2019-08-30 00:30:00+00:00,False,True,False,False,3795,Kyle Field,245,Texas A&M,SEC,fbs,41,"[14, 14, 3, 10]",326,Texas State,Sun Belt,fbs,7,"[0, 0, 0, 7]",https://www.youtube.com/watch?v=b-rp1D8Q-j0,98016.0,0.999331374188528,1739.0,1771.0,0.000668625811471979,1217.0,1185.0,0.220119628399999,
401119253,2019,1,regular,2019-08-30 00:50:00+00:00,False,True,False,False,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,fbs,38,"[7, 17, 7, 7]",399,UAlbany,CAA,fcs,21,"[0, 7, 7, 7]",https://www.youtube.com/watch?v=BXYJc8LTxAk,12207.0,0.9996297842854641,,,0.000370215714535882,,,1.94634025459999,
401112229,2019,1,regular,2019-08-30 01:00:00+00:00,False,True,False,False,3953,Huntington Bank Stadium,135,Minnesota,Big Ten,fbs,28,"[0, 13, 7, 8]",2571,South Dakota State,MVFC,fcs,21,"[0, 7, 14, 0]",https://www.youtube.com/watch?v=sS3pH7mygOE,49112.0,0.7079013302374422,,,0.2920986697625578,,,4.590705268,
401126954,2019,1,regular,2019-08-30 01:00:00+00:00,False,True,False,False,2023,Walkup Skydome,2464,Northern Arizona,Big Sky,fcs,37,"[3, 17, 14, 3]",2623,Missouri State,MVFC,fcs,23,"[3, 3, 10, 7]",,,,,,,,,,
401114153,2019,1,regular,2019-08-30 02:00:00+00:00,False,True,False,False,3947,Mountain America Stadium,9,Arizona State,Pac-12,fbs,30,"[10, 0, 17, 3]",2309,Kent State,Mid-American,fbs,7,"[0, 0, 0, 7]",https://www.youtube.com/watch?v=QEzWhRSQr94,47413.0,0.9986764468501403,1597.0,1610.0,0.0013235531498596576,1165.0,1152.0,0.8053215533,
