id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homeClassification,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayConference,awayClassification,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401525434,2023,1,regular,2023-08-26 18:30:00+00:00,False,True,True,False,49000.0,3504.0,Aviva Stadium,87,Notre Dame,FBS Independents,fbs,42.0,"[14, 14, 7, 7]",0.998958343504533,1733.0,1819.0,2426,Navy,American Athletic,fbs,3.0,"[0, 0, 0, 3]",0.0010416564954669472,1471.0,1385.0,1.3469076611,,
401540199,2023,1,regular,2023-08-26 19:30:00+00:00,False,True,True,False,,3689.0,Cramton Bowl,2382,Mercer,Southern,fcs,17.0,"[7, 3, 0, 7]",0.9741514648169352,,,2453,North Alabama,UAC,fcs,7.0,"[7, 0, 0, 0]",0.025848535183064847,,,6.8969089314,,
401520145,2023,1,regular,2023-08-26 21:30:00+00:00,False,True,False,True,17982.0,3662.0,AmFirst Stadium,55,Jacksonville State,Conference USA,fbs,17.0,"[3, 7, 7, 0]",0.40800060036319785,1500.0,1499.0,2638,UTEP,Conference USA,fbs,14.0,"[0, 7, 0, 7]",0.5919993996368021,1369.0,1370.0,6.8213333937,,
401525450,2023,1,regular,2023-08-26 23:00:00+00:00,False,True,False,False,15356.0,3601.0,Aggie Memorial Stadium,166,New Mexico State,Conference USA,fbs,30.0,"[0, 10, 0, 20]",0.23924886339745693,1322.0,1274.0,113,Massachusetts,FBS Independents,fbs,41.0,"[7, 3, 3, 28]",0.760751136602543,1074.0,1122.0,5.311493375,,
401532392,2023,1,regular,2023-08-26 23:00:00+00:00,False,True,False,False,23867.0,7311.0,Snapdragon Stadium,21,San Diego State,Mountain West,fbs,20.0,"[3, 7, 0, 10]",0.9544687299546838,1488.0,1497.0,195,Ohio,Mid-American,fbs,13.0,"[3, 3, 0, 7]",0.04553127004531621,1482.0,1473.0,6.5473781337,,
401540628,2023,1,regular,2023-08-26 23:00:00+00:00,False,True,False,False,,4419.0,Bob Ford Field,399,UAlbany,CAA,fcs,34.0,"[7, 14, 3, 10]",0.9225171428210445,,,2230,Fordham,Patriot,fcs,13.0,"[3, 3, 7, 0]",0.07748285717895553,,,5.6087575891,,
401539999,2023,1,regular,2023-08-26 23:30:00+00:00,False,True,True,False,,4246.0,Center Parc Stadium,2296,Jackson State,SWAC,fcs,37.0,"[7, 10, 17, 3]",0.9989029618829928,,,2569,South Carolina State,MEAC,fcs,7.0,"[0, 0, 0, 7]",0.0010970381170072319,,,3.1223435448,,
401520147,2023,1,regular,2023-08-26 23:30:00+00:00,False,True,False,False,21407.0,3973.0,FirstBank Stadium,238,Vanderbilt,SEC,fbs,35.0,"[14, 7, 7, 7]",0.18084618805030608,1322.0,1327.0,62,Hawai'i,Mountain West,fbs,28.0,"[7, 7, 0, 14]",0.8191538119496939,1246.0,1241.0,5.2820326034,,
401523986,2023,1,regular,2023-08-27 00:00:00+00:00,False,True,False,False,63411.0,477.0,Los Angeles Memorial Coliseum,30,USC,Pac-12,fbs,56.0,"[7, 14, 21, 14]",0.9982308679413001,1663.0,1713.0,23,San José State,Mountain West,fbs,28.0,"[0, 14, 7, 7]",0.0017691320586998849,1462.0,1412.0,1.6987296464,,
401520146,2023,1,regular,2023-08-27 01:00:00+00:00,False,True,False,True,16299.0,3776.0,Joe Aillet Stadium,2348,Louisiana Tech,Conference USA,fbs,22.0,"[0, 13, 0, 9]",0.9857287782801066,1251.0,1249.0,2229,Florida International,Conference USA,fbs,17.0,"[14, 3, 0, 0]",0.014271221719893368,1072.0,1074.0,8.9977661071,,
