id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,homeId,homeTeam,homeConference,homeClassification,homePoints,homeLineScores,awayId,awayTeam,awayPoints,awayLineScores,highlights,attendance,venueId,venue,homePostgameWinProbability,homePregameElo,homePostgameElo,awayConference,awayClassification,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,notes
401693677,2024,1,regular,2024-08-24 04:00:00+00:00,True,True,True,False,124179,Lincoln (CA),Independent DII,ii,7.0,"[0, 0, 0, 7]",108382,College of Idaho,45.0,"[14, 7, 14, 10]",,,,,,,,,,,,,,
401635525,2024,1,regular,2024-08-24 16:00:00+00:00,False,True,True,True,59,Georgia Tech,ACC,fbs,24.0,"[7, 7, 0, 10]",52,Florida State,21.0,"[8, 6, 0, 7]",,,3504.0,Aviva Stadium,0.9913955304658811,1497.0,1513.0,ACC,fbs,0.008604469534118864,1692.0,1676.0,7.822223962,Aer Lingus College Football Classic
401654665,2024,1,regular,2024-08-24 19:30:00+00:00,False,True,False,False,2627,Tarleton State,UAC,fcs,26.0,"[16, 10, 0, 0]",2377,McNeese,23.0,"[7, 0, 3, 13]",,,3827.0,"Memorial Stadium (Stephenville, TX)",0.054366198232126725,,,Southland,fcs,0.9456338017678733,,,5.5640247878,
401643697,2024,1,regular,2024-08-24 20:00:00+00:00,False,True,False,False,167,New Mexico,Mountain West,fbs,31.0,"[10, 14, 7, 0]",147,Montana State,35.0,"[0, 14, 0, 21]",,,3971.0,University Stadium (NM),0.30110066648514766,1234.0,1234.0,Big Sky,fcs,0.6988993335148523,,,4.9273181699,
401654662,2024,1,regular,2024-08-24 23:00:00+00:00,False,True,True,False,2546,Southeast Missouri State,Big South-OVC,fcs,37.0,"[7, 6, 8, 16]",2453,North Alabama,15.0,"[8, 7, 0, 0]",,,3689.0,Cramton Bowl,0.994947815730074,,,UAC,fcs,0.005052184269926041,,,7.1719013459,FCS Kickoff
401636372,2024,1,regular,2024-08-24 23:30:00+00:00,False,True,True,False,2450,Norfolk State,MEAC,fcs,23.0,"[14, 0, 3, 6]",50,Florida A&M,24.0,"[7, 3, 14, 0]",,,4246.0,Center Parc Stadium,0.918362106299498,,,SWAC,fcs,0.081637893700502,,,4.6903128028,Cricket MEAC/SWAC Challenge Kickoff
401643696,2024,1,regular,2024-08-25 00:00:00+00:00,False,True,False,False,2440,Nevada,Mountain West,fbs,24.0,"[7, 10, 7, 0]",2567,SMU,29.0,"[0, 10, 3, 16]",,,3816.0,Mackay Stadium,0.1027094743544201,1222.0,1243.0,ACC,fbs,0.8972905256455799,1690.0,1669.0,7.6714922497,
401643858,2024,1,regular,2024-08-25 03:59:00+00:00,False,True,False,False,62,Hawai'i,Mountain West,fbs,35.0,"[14, 0, 7, 14]",2169,Delaware State,14.0,"[0, 7, 7, 0]",,,7220.0,Clarence T.C. Ching Athletics Complex,0.9564689570884497,1227.0,1227.0,MEAC,fcs,0.0435310429115503,,,5.224356278,
401675545,2024,1,regular,2024-08-29 04:00:00+00:00,True,True,False,True,2834,Sul Ross State,Lone Star,ii,21.0,"[0, 7, 14, 0]",2704,West Texas A&M,42.0,"[0, 21, 7, 14]",,,6123.0,Jackson Field,,,,Lone Star,ii,,,,,
401673041,2024,1,regular,2024-08-29 22:00:00+00:00,False,True,False,False,2413,Morehead State,Pioneer,fcs,17.0,"[0, 10, 0, 7]",2119,Central State (OH),10.0,"[0, 10, 0, 0]",,,3774.0,Jayne Stadium,,,,SIAC,ii,,,,,
